City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,usinsk,65.9939,57.5281,55.08,76,100,10.2,RU,1691521367
120,east london,-33.0153,27.9116,59.94,82,75,8.05,ZA,1691521367
121,kani keli,-12.9536,45.1033,76.26,71,0,8.99,YT,1691521368
122,namibe,-15.1961,12.1522,64.87,85,97,5.88,AO,1691521368
123,monte carmelo,-18.7247,-47.4986,87.46,16,0,7.61,BR,1691521368
124,ushuaia,-54.8,-68.3,38.86,81,75,8.05,AR,1691521296
125,le vauclin,14.5452,-60.8388,89.65,66,75,13.8,MQ,1691521368
126,okhotsk,59.3833,143.3,52.38,70,17,6.6,RU,1691521368
127,petawawa,45.9001,-77.3328,67.59,84,100,11.5,CA,1691521368
128,tazacorte,28.629,-17.9293,76.17,84,20,5.01,ES,1691521369
129,tahe,52.3333,124.7333,58.98,76,100,1.12,CN,1691521369
130,vicuna,-30.0319,-70.7081,80.76,33,97,6.4,CL,1691521274
131,teshi old town,5.5836,-0.1072,77.56,88,75,16.11,GH,1691521369
132,kourou,5.1552,-52.6478,89.65,73,86,10.04,GF,1691521207
133,hadibu,12.65,54.0333,78.48,77,99,18.21,YE,1691521365
134,udachny,66.4167,112.4,62.46,58,27,4.97,RU,1691521369
135,jamestown,42.097,-79.2353,74.52,65,75,19.57,US,1691521271
136,luanda,-8.8368,13.2343,73.4,78,0,10.36,AO,1691521212
137,altai,46.3722,96.2583,67.08,38,100,13.4,MN,1691521370
138,yazd,31.8972,54.3675,93.31,16,20,6.91,IR,1691521206
139,puerto ayora,-0.7393,-90.3518,85.96,85,58,7.0,EC,1691521370
140,klyuchi,52.2667,79.1667,67.21,43,75,1.97,RU,1691521370
141,vilyuchinsk,52.9306,158.4028,48.47,64,31,7.76,RU,1691521370
142,san antonio de pale,-1.4014,5.6325,74.53,78,0,11.14,GQ,1691521370
143,nouadhibou,20.931,-17.0347,73.38,83,0,18.41,MR,1691521371
144,portland,45.5234,-122.6762,80.53,60,40,3.44,US,1691521095
145,sanga-sanga,5.0725,119.7853,82.6,75,14,7.99,PH,1691521371
146,papao,-17.75,-149.55,80.28,81,100,8.57,PF,1691521371
147,cobija,-11.0267,-68.7692,98.58,28,75,3.51,BO,1691521371
148,nguigmi,14.2495,13.1092,87.3,53,96,5.88,NE,1691521371
149,saldanha,-33.0117,17.9442,53.65,81,0,17.09,ZA,1691521371
150,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,93,20,6.71,RU,1691521351
151,kodiak,57.79,-152.4072,54.91,88,20,3.44,US,1691521373
152,pathein,16.7833,94.7333,78.15,90,100,10.45,MM,1691521373
153,iqaluit,63.7506,-68.5145,44.33,81,40,10.36,CA,1691521288
154,bechar,31.6167,-2.2167,104.32,10,33,6.91,DZ,1691521373
155,sos'va,59.1766,61.8558,61.36,77,100,5.08,RU,1691521373
156,baki,-7.6128,110.7839,70.54,87,3,4.34,ID,1691521374
157,avarua,-21.2078,-159.775,68.05,83,29,2.3,CK,1691521374
158,sinjar,36.3209,41.8754,98.74,21,0,14.97,IQ,1691521103
159,ta`u,-14.2336,-169.5144,80.73,74,100,12.01,AS,1691521374
160,ascension,30.2169,-90.9001,99.16,66,75,9.22,US,1691521374
161,jiaojiang,28.6803,121.4428,82.0,92,69,3.31,CN,1691521374
162,port isabel,26.0734,-97.2086,98.69,56,40,16.11,US,1691521374
